"asset","model","feature_set","n","accuracy","balanced_accuracy","f1","auc","positive_rate_actual","positive_rate_predicted"
"ETH","glmnet_logistic","lagged_returns_plus_aggregate_signals",5040,0.5125,0.512455829011444,0.507713884992987,0.516065806839927,0.496230158730159,0.494047619047619
"LINK","glmnet_logistic","lagged_returns_plus_aggregate_signals",5040,0.518650793650794,0.51830832302826,0.495634095634096,0.520550795649888,0.460119047619048,0.494246031746032
"LTC","glmnet_logistic","lagged_returns_plus_aggregate_signals",5040,0.515277777777778,0.51515337237728,0.506763577629719,0.520744170979966,0.488492063492063,0.494246031746032
"SOL","glmnet_logistic","lagged_returns_plus_aggregate_signals",5040,0.518055555555556,0.518025328527419,0.513908345007004,0.516782932778351,0.497420634920635,0.494047619047619
"TRX","glmnet_logistic","lagged_returns_plus_aggregate_signals",5040,0.494047619047619,0.493796526054591,0.480440097799511,0.490930435918256,0.479761904761905,0.494047619047619
"XRP","glmnet_logistic","lagged_returns_plus_aggregate_signals",5040,0.513690476190476,0.513525302315685,0.503343465045593,0.509044686375797,0.485119047619048,0.494047619047619
"ADA","random_forest","lagged_returns_plus_aggregate_signals",5040,0.50218253968254,0.50857532377068,0.549955156950673,0.511759086548942,0.475595238095238,0.630555555555556
"AVAX","random_forest","lagged_returns_plus_aggregate_signals",5040,0.501388888888889,0.514039500817749,0.545322960014474,0.51054454571774,0.455555555555556,0.641071428571429
"BNB","random_forest","lagged_returns_plus_aggregate_signals",5040,0.521626984126984,0.519153225806452,0.589057439918186,0.522094962827621,0.507936507936508,0.656150793650794
"BTC","random_forest","lagged_returns_plus_aggregate_signals",5040,0.514285714285714,0.514594020038187,0.579236851151599,0.515593016160463,0.499007936507937,0.655357142857143
"DOGE","random_forest","lagged_returns_plus_aggregate_signals",5040,0.513293650793651,0.514817460621188,0.571827544074009,0.516636373758577,0.494642857142857,0.642063492063492
"DOT","random_forest","lagged_returns_plus_aggregate_signals",5040,0.511507936507936,0.519667423718772,0.560670949321913,0.522159533919226,0.471230158730159,0.640674603174603
"ETH","random_forest","lagged_returns_plus_aggregate_signals",5040,0.513492063492063,0.51455652477095,0.572226099092812,0.525880392230662,0.496230158730159,0.641071428571429
"LINK","random_forest","lagged_returns_plus_aggregate_signals",5040,0.499801587301587,0.510949288581504,0.544863693807547,0.515748338470418,0.460119047619048,0.638888888888889
"LTC","random_forest","lagged_returns_plus_aggregate_signals",5040,0.508531746031746,0.51188539028296,0.5665791776028,0.512649999149209,0.488492063492063,0.645436507936508
"SOL","random_forest","lagged_returns_plus_aggregate_signals",5040,0.509920634920635,0.510669139437605,0.571031608197291,0.511053534902904,0.497420634920635,0.645039682539683
